prompt_id,prompt_text,prompt_type,primary_genre,main_theme,structure_type,word_count,character_count
1,Craft a sci-fi tale exploring how hope leads to mysterious sacrifice.,general,sci-fi,sacrifice,craft_narrative,11,69
2,Create a thriller narrative about a betrayal facing a whimsical challenge.,general,thriller,betrayal,create_narrative,11,74
3,Craft a adventure epic where redemption becomes the key to humorous survival.,general,adventure,survival,craft_narrative,12,77
4,Craft a horror epic where sacrifice becomes the key to humorous identity.,general,horror,sacrifice,craft_narrative,12,73
5,Write a sci-fi chronicle where survival must overcome suspenseful obstacles.,general,sci-fi,survival,write_story,10,76
6,"In a suspenseful horror realm, redemption discovers the power of survival.",general,horror,survival,world_setting,11,74
7,Tell a historical fiction legend about a redemption seeking mysterious betrayal.,general,historical fiction,betrayal,tell_story,11,80
8,Tell a horror story where sacrifice must choose between identity and betrayal.,general,horror,sacrifice,tell_story,12,78
9,Craft a historical fiction tale exploring how betrayal leads to unexpected sacrifice.,general,historical fiction,sacrifice,craft_narrative,12,85
10,Write a mystery chronicle where redemption must overcome uplifting obstacles.,general,mystery,redemption,write_story,10,77
11,Write about a fantasy who finds sacrifice in a whimsical setting.,general,fantasy,sacrifice,write_story,11,65
12,Create a horror odyssey focused on love and their suspenseful destiny.,general,horror,love,create_narrative,11,70
13,Create a fantasy tale about a sacrifice facing a unexpected challenge.,general,fantasy,sacrifice,create_narrative,11,70
14,Tell a adventure legend about a hope seeking whimsical betrayal.,general,adventure,hope,tell_story,10,64
15,Craft a adventure tale exploring how love leads to uplifting love.,general,adventure,love,craft_narrative,11,66
16,Write a romance tale where family leads to an unexpected mysterious.,general,romance,family,write_story,11,68
17,Write about a romance world where family is both unexpected and essential.,general,romance,family,write_story,12,74
18,"In a adventure world, a family must dark to save the survival.",general,adventure,family,world_setting,12,62
19,Write about a fantasy who finds betrayal in a suspenseful setting.,general,fantasy,betrayal,write_story,11,66
20,Create a romance story about a survival facing a dark challenge.,general,romance,survival,create_narrative,11,64
21,Write about a coming-of-age who finds redemption in a suspenseful setting.,general,coming-of-age,redemption,write_story,11,74
22,"In a unexpected romance realm, redemption discovers the power of family.",general,romance,family,world_setting,11,72
23,Write about a romance world where betrayal is both suspenseful and essential.,general,romance,betrayal,write_story,12,77
24,Tell a thriller legend about a sacrifice seeking humorous hope.,general,thriller,sacrifice,tell_story,10,63
25,Create a thriller odyssey focused on love and their humorous destiny.,general,thriller,love,create_narrative,11,69
26,"In a historical fiction world, a survival must unexpected to save the hope.",general,historical fiction,hope,world_setting,13,75
27,Write about a historical fiction world where sacrifice is both humorous and essential.,general,historical fiction,sacrifice,write_story,13,86
28,Create a horror tale about a hope facing a mysterious challenge.,general,horror,hope,create_narrative,11,64
29,Write a mystery story about a redemption who discovers a humorous secret.,general,mystery,redemption,write_story,12,73
30,Create a romance odyssey focused on redemption and their dark destiny.,general,romance,redemption,create_narrative,11,70
31,Tell a historical fiction story where sacrifice must choose between hope and redemption.,general,historical fiction,sacrifice,tell_story,13,88
32,Write about a sci-fi who finds betrayal in a humorous setting.,general,sci-fi,betrayal,write_story,11,62
33,Write a mystery adventure where betrayal transforms through humorous trials.,general,mystery,betrayal,write_story,10,76
34,Craft a coming-of-age tale exploring how family leads to dark hope.,general,coming-of-age,family,craft_narrative,11,67
35,Craft a historical fiction tale exploring how survival leads to uplifting love.,general,historical fiction,love,craft_narrative,12,79
36,Craft a fantasy epic where identity becomes the key to mysterious identity.,general,fantasy,identity,craft_narrative,12,75
37,Craft a fantasy epic where hope becomes the key to mysterious survival.,general,fantasy,hope,craft_narrative,12,71
38,Tell a coming-of-age story where sacrifice must choose between betrayal and family.,general,coming-of-age,family,tell_story,12,83
39,Tell a mystery story where identity must choose between survival and redemption.,general,mystery,identity,tell_story,12,80
40,"In a unexpected thriller realm, betrayal discovers the power of redemption.",general,thriller,betrayal,world_setting,11,75
41,Create a coming-of-age saga about the humorous journey of family.,general,coming-of-age,family,create_narrative,10,65
42,Tell a thriller story where identity must choose between sacrifice and survival.,general,thriller,sacrifice,tell_story,12,80
43,Write a romance story about a sacrifice who discovers a unexpected secret.,general,romance,sacrifice,write_story,12,74
44,"In a suspenseful historical fiction realm, love discovers the power of identity.",general,historical fiction,love,world_setting,12,80
45,Craft a mystery tale exploring how redemption leads to whimsical sacrifice.,general,mystery,sacrifice,craft_narrative,11,75
46,Create a horror tale about a betrayal facing a suspenseful challenge.,general,horror,betrayal,create_narrative,11,69
47,Create a historical fiction odyssey focused on survival and their uplifting destiny.,general,historical fiction,survival,create_narrative,12,84
48,Write a romance tale about a family who discovers a dark secret.,general,romance,family,write_story,12,64
49,Write about a horror world where love is both humorous and essential.,general,horror,love,write_story,12,69
50,Create a horror odyssey focused on survival and their dark destiny.,general,horror,survival,create_narrative,11,67
51,Tell a mystery legend about a betrayal seeking suspenseful redemption.,general,mystery,betrayal,tell_story,10,70
52,Write a thriller chronicle where survival must overcome suspenseful obstacles.,general,thriller,survival,write_story,10,78
53,"In a mysterious fantasy realm, sacrifice discovers the power of family.",general,fantasy,family,world_setting,11,71
54,"In a horror world, a survival must mysterious to save the love.",general,horror,love,world_setting,12,63
55,Write a romance narrative about a redemption who discovers a unexpected secret.,general,romance,redemption,write_story,12,79
56,Write a horror chronicle where survival must overcome dark obstacles.,general,horror,survival,write_story,10,69
57,Tell a thriller story where betrayal must choose between sacrifice and love.,general,thriller,sacrifice,tell_story,12,76
58,Write a mystery adventure where survival transforms through unexpected trials.,general,mystery,survival,write_story,10,78
59,Write a fantasy tale where redemption leads to an unexpected whimsical.,general,fantasy,redemption,write_story,11,71
60,Write about a thriller who finds betrayal in a suspenseful setting.,general,thriller,betrayal,write_story,11,67
61,Create a historical fiction narrative about a identity facing a humorous challenge.,general,historical fiction,identity,create_narrative,12,83
62,"In a uplifting fantasy realm, redemption discovers the power of hope.",general,fantasy,hope,world_setting,11,69
63,Craft a historical fiction tale exploring how identity leads to uplifting betrayal.,general,historical fiction,identity,craft_narrative,12,83
64,Tell a thriller story where sacrifice must choose between identity and hope.,general,thriller,sacrifice,tell_story,12,76
65,Create a thriller odyssey focused on love and their unexpected destiny.,general,thriller,love,create_narrative,11,71
66,Tell a adventure story where survival must choose between love and sacrifice.,general,adventure,sacrifice,tell_story,12,77
67,Create a adventure tale about a family facing a mysterious challenge.,general,adventure,family,create_narrative,11,69
68,"In a humorous romance realm, survival discovers the power of identity.",general,romance,identity,world_setting,11,70
69,"In a unexpected mystery realm, family discovers the power of family.",general,mystery,family,world_setting,11,68
70,Create a fantasy saga about the dark journey of betrayal.,general,fantasy,betrayal,create_narrative,10,57
71,"In a coming-of-age world, a redemption must dark to save the survival.",general,coming-of-age,survival,world_setting,12,70
72,Write a historical fiction chronicle where hope must overcome unexpected obstacles.,general,historical fiction,hope,write_story,11,83
73,Craft a horror epic where love becomes the key to unexpected survival.,general,horror,love,craft_narrative,12,70
74,Write about a mystery who finds betrayal in a unexpected setting.,general,mystery,betrayal,write_story,11,65
75,Tell a horror legend about a hope seeking mysterious hope.,general,horror,hope,tell_story,10,58
76,"In a dark thriller realm, hope discovers the power of sacrifice.",general,thriller,sacrifice,world_setting,11,64
77,Write a fantasy tale where redemption leads to an unexpected humorous.,general,fantasy,redemption,write_story,11,70
78,Create a romance story about a redemption facing a unexpected challenge.,general,romance,redemption,create_narrative,11,72
79,Tell a sci-fi story where love must choose between love and hope.,general,sci-fi,love,tell_story,12,65
80,Write a fantasy narrative about a family who discovers a uplifting secret.,general,fantasy,family,write_story,12,74
81,Write a sci-fi tale where love leads to an unexpected whimsical.,general,sci-fi,love,write_story,11,64
82,Write about a thriller who finds love in a dark setting.,general,thriller,love,write_story,11,56
83,Create a coming-of-age story about a redemption facing a dark challenge.,general,coming-of-age,redemption,create_narrative,11,72
84,Write a coming-of-age adventure where survival transforms through dark trials.,general,adventure,survival,write_story,10,78
85,Craft a thriller tale exploring how survival leads to dark hope.,general,thriller,hope,craft_narrative,11,64
86,Create a fantasy odyssey focused on identity and their suspenseful destiny.,general,fantasy,identity,create_narrative,11,75
87,Write a fantasy tale where survival leads to an unexpected unexpected.,general,fantasy,survival,write_story,11,70
88,Create a coming-of-age odyssey focused on survival and their whimsical destiny.,general,coming-of-age,survival,create_narrative,11,79
89,Write about a thriller world where identity is both mysterious and essential.,general,thriller,identity,write_story,12,77
90,"In a mystery world, a hope must humorous to save the family.",general,mystery,family,world_setting,12,60
91,Create a coming-of-age saga about the unexpected journey of identity.,general,coming-of-age,identity,create_narrative,10,69
92,"In a unexpected sci-fi realm, hope discovers the power of redemption.",general,sci-fi,hope,world_setting,11,69
93,Write a mystery narrative about a identity who discovers a uplifting secret.,general,mystery,identity,write_story,12,76
94,Write a fantasy tale where identity leads to an unexpected mysterious.,general,fantasy,identity,write_story,11,70
95,Create a historical fiction saga about the whimsical journey of betrayal.,general,historical fiction,betrayal,create_narrative,11,73
96,Write a mystery tale about a family who discovers a mysterious secret.,general,mystery,family,write_story,12,70
97,Write about a adventure world where redemption is both humorous and essential.,general,adventure,redemption,write_story,12,78
98,Write about a coming-of-age who finds identity in a unexpected setting.,general,coming-of-age,identity,write_story,11,71
99,Craft a adventure tale exploring how identity leads to whimsical redemption.,general,adventure,identity,craft_narrative,11,76
100,Write a romance adventure where sacrifice transforms through whimsical trials.,general,romance,sacrifice,write_story,10,78
101,Write a romance tale about a love who discovers a suspenseful secret.,general,romance,love,write_story,12,69
102,Write a horror chronicle where hope must overcome unexpected obstacles.,general,horror,hope,write_story,10,71
103,Write a historical fiction story about a love who discovers a suspenseful secret.,general,historical fiction,love,write_story,13,81
104,"In a coming-of-age world, a identity must uplifting to save the betrayal.",general,coming-of-age,identity,world_setting,12,73
105,Write a fantasy tale where hope leads to an unexpected humorous.,general,fantasy,hope,write_story,11,64
106,Write a historical fiction adventure where love transforms through uplifting trials.,general,adventure,love,write_story,11,84
107,Write about a horror world where survival is both unexpected and essential.,general,horror,survival,write_story,12,75
108,Create a horror saga about the unexpected journey of identity.,general,horror,identity,create_narrative,10,62
109,Craft a sci-fi tale exploring how love leads to humorous family.,general,sci-fi,family,craft_narrative,11,64
110,Create a mystery story about a love facing a unexpected challenge.,general,mystery,love,create_narrative,11,66
111,Create a coming-of-age narrative about a sacrifice facing a uplifting challenge.,general,coming-of-age,sacrifice,create_narrative,11,80
112,"In a humorous sci-fi realm, identity discovers the power of family.",general,sci-fi,family,world_setting,11,67
113,"In a thriller world, a redemption must uplifting to save the family.",general,thriller,family,world_setting,12,68
114,Create a coming-of-age odyssey focused on survival and their unexpected destiny.,general,coming-of-age,survival,create_narrative,11,80
115,Craft a historical fiction epic where redemption becomes the key to uplifting family.,general,historical fiction,family,craft_narrative,13,85
116,Write about a romance who finds sacrifice in a unexpected setting.,general,romance,sacrifice,write_story,11,66
117,Write about a romance world where survival is both mysterious and essential.,general,romance,survival,write_story,12,76
118,Write a horror story about a love who discovers a humorous secret.,general,horror,love,write_story,12,66
119,"In a sci-fi world, a hope must uplifting to save the survival.",general,sci-fi,hope,world_setting,12,62
120,Write a mystery tale about a family who discovers a mysterious secret.,general,mystery,family,write_story,12,70
121,Craft a adventure epic where betrayal becomes the key to humorous betrayal.,general,adventure,betrayal,craft_narrative,12,75
122,Write a sci-fi tale about a hope who discovers a uplifting secret.,general,sci-fi,hope,write_story,12,66
123,Write a horror chronicle where hope must overcome uplifting obstacles.,general,horror,hope,write_story,10,70
124,Craft a thriller epic where sacrifice becomes the key to whimsical identity.,general,thriller,sacrifice,craft_narrative,12,76
125,Tell a historical fiction story where love must choose between identity and betrayal.,general,historical fiction,love,tell_story,13,85
126,Create a mystery narrative about a survival facing a mysterious challenge.,general,mystery,survival,create_narrative,11,74
127,Create a mystery saga about the dark journey of sacrifice.,general,mystery,sacrifice,create_narrative,10,58
128,"In a romance world, a survival must whimsical to save the love.",general,romance,love,world_setting,12,63
129,Write about a horror world where family is both mysterious and essential.,general,horror,family,write_story,12,73
130,Craft a thriller epic where redemption becomes the key to unexpected survival.,general,thriller,survival,craft_narrative,12,78
131,Write a thriller chronicle where hope must overcome unexpected obstacles.,general,thriller,hope,write_story,10,73
132,Write about a thriller who finds betrayal in a whimsical setting.,general,thriller,betrayal,write_story,11,65
133,Write a sci-fi tale about a betrayal who discovers a suspenseful secret.,general,sci-fi,betrayal,write_story,12,72
134,Craft a sci-fi tale exploring how survival leads to suspenseful survival.,general,sci-fi,survival,craft_narrative,11,73
135,Write about a fantasy who finds redemption in a humorous setting.,general,fantasy,redemption,write_story,11,65
136,Create a thriller tale about a love facing a whimsical challenge.,general,thriller,love,create_narrative,11,65
137,Write a adventure chronicle where betrayal must overcome humorous obstacles.,general,adventure,betrayal,write_story,10,76
138,Write a thriller tale where love leads to an unexpected humorous.,general,thriller,love,write_story,11,65
139,Write a fantasy adventure where survival transforms through suspenseful trials.,general,fantasy,survival,write_story,10,79
140,Write about a horror who finds survival in a unexpected setting.,general,horror,survival,write_story,11,64
141,Tell a adventure legend about a sacrifice seeking suspenseful sacrifice.,general,adventure,sacrifice,tell_story,10,72
142,Craft a horror epic where love becomes the key to unexpected survival.,general,horror,love,craft_narrative,12,70
143,Tell a romance legend about a betrayal seeking humorous love.,general,romance,love,tell_story,10,61
144,Write a horror adventure where sacrifice transforms through mysterious trials.,general,horror,sacrifice,write_story,10,78
145,"In a humorous horror realm, hope discovers the power of redemption.",general,horror,hope,world_setting,11,67
146,Craft a romance epic where sacrifice becomes the key to humorous hope.,general,romance,sacrifice,craft_narrative,12,70
147,"In a romance world, a love must suspenseful to save the family.",general,romance,family,world_setting,12,63
148,Create a romance odyssey focused on redemption and their dark destiny.,general,romance,redemption,create_narrative,11,70
149,Write a adventure chronicle where survival must overcome humorous obstacles.,general,adventure,survival,write_story,10,76
150,Write a sci-fi narrative about a betrayal who discovers a humorous secret.,general,sci-fi,betrayal,write_story,12,74
151,Craft a horror epic where sacrifice becomes the key to uplifting survival.,general,horror,sacrifice,craft_narrative,12,74
152,Craft a horror epic where sacrifice becomes the key to humorous hope.,general,horror,sacrifice,craft_narrative,12,69
153,Tell a romance story where betrayal must choose between sacrifice and identity.,general,romance,sacrifice,tell_story,12,79
154,Write a romance adventure where family transforms through dark trials.,general,romance,family,write_story,10,70
155,Tell a fantasy legend about a love seeking unexpected love.,general,fantasy,love,tell_story,10,59
156,Write a historical fiction tale where betrayal leads to an unexpected unexpected.,general,historical fiction,betrayal,write_story,12,81
157,Tell a thriller legend about a betrayal seeking whimsical love.,general,thriller,love,tell_story,10,63
158,Create a mystery story about a hope facing a mysterious challenge.,general,mystery,hope,create_narrative,11,66
159,Write a adventure adventure where redemption transforms through dark trials.,general,adventure,redemption,write_story,10,76
160,Craft a coming-of-age tale exploring how betrayal leads to suspenseful betrayal.,general,coming-of-age,betrayal,craft_narrative,11,80
161,Craft a adventure epic where family becomes the key to mysterious identity.,general,adventure,family,craft_narrative,12,75
162,"In a thriller world, a love must unexpected to save the redemption.",general,thriller,love,world_setting,12,67
163,Tell a sci-fi story where hope must choose between identity and family.,general,sci-fi,family,tell_story,12,71
164,Create a coming-of-age narrative about a sacrifice facing a uplifting challenge.,general,coming-of-age,sacrifice,create_narrative,11,80
165,Write a romance story about a love who discovers a humorous secret.,general,romance,love,write_story,12,67
166,Craft a horror epic where love becomes the key to whimsical survival.,general,horror,love,craft_narrative,12,69
167,"In a thriller world, a sacrifice must unexpected to save the identity.",general,thriller,sacrifice,world_setting,12,70
168,Create a romance odyssey focused on survival and their unexpected destiny.,general,romance,survival,create_narrative,11,74
169,Tell a adventure story where betrayal must choose between family and redemption.,general,adventure,family,tell_story,12,80
170,Write a horror chronicle where hope must overcome suspenseful obstacles.,general,horror,hope,write_story,10,72
171,"In a whimsical sci-fi realm, sacrifice discovers the power of survival.",general,sci-fi,sacrifice,world_setting,11,71
172,Create a thriller saga about the humorous journey of betrayal.,general,thriller,betrayal,create_narrative,10,62
173,Craft a coming-of-age epic where sacrifice becomes the key to dark sacrifice.,general,coming-of-age,sacrifice,craft_narrative,12,77
174,Write a historical fiction chronicle where redemption must overcome suspenseful obstacles.,general,historical fiction,redemption,write_story,11,90
175,Craft a adventure epic where family becomes the key to dark identity.,general,adventure,family,craft_narrative,12,69
176,Tell a mystery story where betrayal must choose between survival and family.,general,mystery,family,tell_story,12,76
177,Create a fantasy saga about the dark journey of redemption.,general,fantasy,redemption,create_narrative,10,59
178,Create a historical fiction saga about the dark journey of love.,general,historical fiction,love,create_narrative,11,64
179,Tell a romance legend about a hope seeking whimsical betrayal.,general,romance,hope,tell_story,10,62
180,"In a mysterious adventure realm, betrayal discovers the power of survival.",general,adventure,betrayal,world_setting,11,74
181,Create a horror saga about the humorous journey of sacrifice.,general,horror,sacrifice,create_narrative,10,61
182,Write about a historical fiction who finds identity in a unexpected setting.,general,historical fiction,identity,write_story,12,76
183,Write a mystery story about a sacrifice who discovers a whimsical secret.,general,mystery,sacrifice,write_story,12,73
184,Write a adventure tale where identity leads to an unexpected mysterious.,general,adventure,identity,write_story,11,72
185,Tell a romance story where identity must choose between survival and betrayal.,general,romance,identity,tell_story,12,78
186,Craft a coming-of-age epic where love becomes the key to whimsical love.,general,coming-of-age,love,craft_narrative,12,72
187,Create a romance saga about the unexpected journey of hope.,general,romance,hope,create_narrative,10,59
188,Create a sci-fi saga about the uplifting journey of hope.,general,sci-fi,hope,create_narrative,10,57
189,Write about a fantasy world where love is both dark and essential.,general,fantasy,love,write_story,12,66
190,Create a horror story about a hope facing a humorous challenge.,general,horror,hope,create_narrative,11,63
191,Create a adventure tale about a hope facing a unexpected challenge.,general,adventure,hope,create_narrative,11,67
192,Write about a horror who finds hope in a dark setting.,general,horror,hope,write_story,11,54
193,Write about a thriller who finds identity in a uplifting setting.,general,thriller,identity,write_story,11,65
194,Tell a sci-fi story where identity must choose between love and survival.,general,sci-fi,love,tell_story,12,73
195,Create a coming-of-age saga about the whimsical journey of survival.,general,coming-of-age,survival,create_narrative,10,68
196,"In a thriller world, a identity must mysterious to save the redemption.",general,thriller,identity,world_setting,12,71
197,Write a romance adventure where redemption transforms through whimsical trials.,general,romance,redemption,write_story,10,79
198,Write about a adventure world where sacrifice is both mysterious and essential.,general,adventure,sacrifice,write_story,12,79
199,Write about a fantasy world where sacrifice is both humorous and essential.,general,fantasy,sacrifice,write_story,12,75
200,Create a thriller saga about the whimsical journey of love.,general,thriller,love,create_narrative,10,59
